ID,英語名,タイプ（日本語）,特性（日本語）,重さ,HP,攻撃,防御,特攻,特防,素早さ,覚える技一覧（日本語）,画像URL
10163,rapidash-galar,"エスパー, フェアリー","にげあし, パステルベール, きけんよち",800,65,100,70,80,80,105,"ネコにこばん, つるぎのまい, ふみつけ, たいあたり, のしかかり, とっしん, しっぽをふる, なきごえ, サイケこうせん, はかいこうせん, けたぐり, ねんりき, サイコキネシス, こうそくいどう, でんこうせっか, スピードスター, ねむる, みがわり, いびき, まもる, こらえる, あまえる, メロメロ, ねごと, メガホーン, バトンタッチ, アイアンテール, みらいよち, からげんき, ふういん, とびはねる, めいそう, いやしのねがい, ギガインパクト, サイコカッター, しねんのずつき, トリックルーム, ワンダールーム, マジックルーム, りんしょう, アシストパワー, サイドチェンジ, いやしのはどう, ワイルドボルト, ドリルライナー, ミストフィールド, じゃれつく, ようせいのかぜ, マジカルフレイム, マジカルシャイン, １０まんばりき, じごくづき, サイコフィールド, スマートホーン, ワイドフォース",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10163.png
10164,slowpoke-galar,エスパー,"くいしんぼう, マイペース, さいせいりょく",360,90,65,65,40,40,15,"ネコにこばん, ふみつけ, ずつき, たいあたり, のしかかり, とっしん, なきごえ, かなしばり, ようかいえき, かえんほうしゃ, ハイドロポンプ, なみのり, れいとうビーム, ふぶき, サイケこうせん, でんじは, じしん, あなをほる, ねんりき, サイコキネシス, ひかりのかべ, だいもんじ, たきのぼり, スピードスター, ドわすれ, ねむる, トライアタック, みがわり, いびき, のろい, まもる, はらだいこ, こごえるかぜ, こらえる, メロメロ, ねごと, しんぴのまもり, アイアンテール, あまごい, にほんばれ, じこあんじ, シャドーボール, みらいよち, うずしお, あられ, からげんき, てだすけ, トリック, あくび, スキルスワップ, ふういん, ダイビング, なまける, ウェザーボール, とおせんぼう, マッドショット, めいそう, みずのはどう, しおみず, ゆきなだれ, しねんのずつき, トリックルーム, くさむすび, ワンダールーム, サイコショック, イカサマ, りんしょう, アシストパワー, ねっとう, いやしのはどう, じならし, ゲップ, サイコフィールド, アクアブレイク, ワイドフォース, テラバースト, ゆきげしき, ひやみず",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10164.png
10165,slowbro-galar,"どく, エスパー","クイックドロウ, マイペース, さいせいりょく",705,95,100,95,100,70,30,"メガトンパンチ, ネコにこばん, れいとうパンチ, メガトンキック, ずつき, たいあたり, のしかかり, とっしん, すてみタックル, なきごえ, かなしばり, ようかいえき, かえんほうしゃ, ハイドロポンプ, なみのり, れいとうビーム, ふぶき, サイケこうせん, はかいこうせん, でんじは, じしん, あなをほる, どくどく, ねんりき, サイコキネシス, からにこもる, ひかりのかべ, くろいきり, ゆびをふる, だいもんじ, たきのぼり, スピードスター, ドわすれ, ねむる, トライアタック, みがわり, いびき, のろい, まもる, こわいかお, ヘドロばくだん, こごえるかぜ, すなあらし, こらえる, メロメロ, ねごと, しんぴのまもり, アイアンテール, あまごい, にほんばれ, じこあんじ, シャドーボール, みらいよち, うずしお, あられ, からげんき, てだすけ, トリック, かわらわり, あくび, スキルスワップ, ふういん, ダイビング, なまける, ウェザーボール, だくりゅう, てっぺき, マッドショット, めいそう, ロックブラスト, みずのはどう, しおみず, なげつける, どくづき, パワージェム, ドレインパンチ, きあいだま, ギガインパクト, わるだくみ, ゆきなだれ, こおりのキバ, しねんのずつき, トリックルーム, ダストシュート, くさむすび, ワンダールーム, サイコショック, ベノムショック, うちおとす, ヘドロウェーブ, アシッドボム, イカサマ, りんしょう, アシストパワー, ねっとう, いやしのはどう, じならし, シェルブレード, サイコフィールド, ぶんまわす, アクアブレイク, ボディプレス, ワイドフォース, シェルアームズ, テラバースト, ゆきげしき, ひやみず",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10165.png
10166,farfetchd-galar,かくとう,"ふくつのこころ, きもったま",420,52,95,55,58,62,55,"つるぎのまい, たたきつける, すなかけ, のしかかり, すてみタックル, にらみつける, つつく, カウンター, でんこうせっか, きあいだめ, ゴッドバード, ねむる, みがわり, いびき, のろい, じたばた, まもる, みきり, こらえる, れんぞくぎり, はがねのつばさ, メロメロ, ねごと, にほんばれ, いわくだき, からげんき, てだすけ, ばかぢから, リベンジ, かわらわり, はたきおとす, ほしがる, リーフブレード, フェイント, インファイト, ダメおし, どくづき, つじぎり, ブレイブバード, きりばらい, シンプルビーム, りんしょう, ファストガード, かたきうち, いのちがけ, ふるいたてる, ソーラーブレード, じごくづき, ぶんまわす, ダブルウイング",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10166.png
10167,weezing-galar,"どく, フェアリー","ふゆう, かがくへんかガス, ミストメイカー",160,65,90,120,85,70,60,"たいあたり, のしかかり, とっしん, すてみタックル, かえんほうしゃ, サイケこうせん, はかいこうせん, １０まんボルト, かみなり, どくどく, いやなおと, えんまく, くろいきり, じばく, スモッグ, ヘドロこうげき, だいもんじ, どくガス, だいばくはつ, ねむる, みがわり, どろぼう, いびき, のろい, うらみ, まもる, こわいかお, ヘドロばくだん, みちづれ, こらえる, メロメロ, ねごと, いたみわけ, あまごい, にほんばれ, シャドーボール, さわぐ, ねっぷう, おにび, おきみやげ, からげんき, ちょうはつ, アロマセラピー, オーバーヒート, ジャイロボール, しっぺがえし, ダメおし, どくびし, あくのはどう, ギガインパクト, きりばらい, ダストシュート, ダブルアタック, ワンダールーム, ベノムショック, ヘドロウェーブ, アシッドボム, りんしょう, クリアスモッグ, ゲップ, ミストフィールド, じゃれつく, ようせいのかぜ, アロマミスト, ベノムトラップ, マジカルシャイン, ぶんまわす, ワンダースチーム, ミストバースト, ふしょくガス, テラバースト",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10167.png
10168,mr-mime-galar,"こおり, エスパー","やるき, バリアフリー, アイスボディ",568,50,65,65,90,90,100,"はたく, メガトンパンチ, れいとうパンチ, にどげり, メガトンキック, のしかかり, れいとうビーム, ふぶき, サイケこうせん, はかいこうせん, ソーラービーム, １０まんボルト, でんじは, かみなり, ねんりき, サイコキネシス, さいみんじゅつ, ものまね, いやなおと, あやしいひかり, ひかりのかべ, リフレクター, ゆびをふる, ねむる, みがわり, どろぼう, いびき, まもる, こごえるかぜ, こらえる, あまえる, メロメロ, ねごと, しんぴのまもり, バトンタッチ, アンコール, こうそくスピン, あまごい, にほんばれ, ミラーコート, シャドーボール, みらいよち, ねこだまし, さわぐ, あられ, からげんき, ちょうはつ, てだすけ, トリック, なりきり, リサイクル, かわらわり, スキルスワップ, フラフラダンス, くすぐる, つららばり, てっぺき, めいそう, しっぺがえし, なげつける, まねっこ, パワースワップ, ガードスワップ, ふいうち, ドレインパンチ, きあいだま, エナジーボール, ギガインパクト, わるだくみ, ゆきなだれ, こおりのつぶて, しねんのずつき, トリックルーム, くさむすび, パワーシェア, ワンダールーム, サイコショック, マジックルーム, イカサマ, りんしょう, アシストパワー, サイドチェンジ, フリーズドライ, ミストフィールド, マジカルシャイン, サイコフィールド, じだんだ, ワイドフォース, トリプルアクセル",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10168.png
10169,articuno-galar,"エスパー, ひこう",かちき,509,90,85,85,125,100,95,"かぜおこし, そらをとぶ, とっしん, サイケこうせん, はかいこうせん, ねんりき, サイコキネシス, さいみんじゅつ, こうそくいどう, かげぶんしん, じこさいせい, ひかりのかべ, リフレクター, スピードスター, ゆめくい, ねむる, みがわり, こころのめ, いびき, まもる, こわいかお, こらえる, はがねのつばさ, ねごと, あまごい, にほんばれ, げんしのちから, シャドーボール, みらいよち, からげんき, てだすけ, トリック, スキルスワップ, ふういん, ハイパーボイス, エアカッター, めいそう, おいかぜ, とんぼがえり, サイコシフト, パワースワップ, ガードスワップ, エアスラッシュ, ブレイブバード, ギガインパクト, サイコカッター, トリックルーム, サイコショック, りんしょう, アシストパワー, サイドチェンジ, ぼうふう, ワイドフォース, ダブルウイング, いてつくしせん, テラバースト, ゆきげしき, サイコノイズ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10169.png
10170,zapdos-galar,"かくとう, ひこう",まけんき,582,90,125,90,85,90,100,"そらをとぶ, メガトンキック, とっしん, すてみタックル, はかいこうせん, つつく, ドリルくちばし, けたぐり, カウンター, こうそくいどう, いやなおと, ひかりのかべ, きあいだめ, スピードスター, ねむる, みがわり, いびき, きしかいせい, まもる, こわいかお, みきり, すなあらし, こらえる, はがねのつばさ, ねごと, あまごい, にほんばれ, げんしのちから, いわくだき, からげんき, ちょうはつ, てだすけ, ばかぢから, リベンジ, かわらわり, はたきおとす, がむしゃら, ブレイズキック, つばめがえし, ビルドアップ, とびはねる, ついばむ, おいかぜ, とんぼがえり, インファイト, しっぺがえし, ダメおし, ブレイブバード, ギガインパクト, ローキック, りんしょう, ファストガード, アクロバット, かたきうち, ぼうふう, じごくづき, じだんだ, コーチング, ダブルウイング, らいめいげり, テラバースト, くさわけ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10170.png
10171,moltres-galar,"あく, ひこう",ぎゃくじょう,660,90,85,90,100,125,90,"かぜおこし, つばさでうつ, そらをとぶ, とっしん, にらみつける, はかいこうせん, こうそくいどう, スピードスター, ゴッドバード, ねむる, みがわり, どろぼう, いびき, うらみ, まもる, こわいかお, すなあらし, こらえる, はがねのつばさ, ねごと, しんぴのまもり, いたみわけ, あまごい, にほんばれ, げんしのちから, シャドーボール, おきみやげ, からげんき, ちょうはつ, てだすけ, ふういん, ハイパーボイス, つばめがえし, おいかぜ, とんぼがえり, しっぺがえし, ダメおし, ふいうち, あくのはどう, エアスラッシュ, ブレイブバード, ギガインパクト, わるだくみ, イカサマ, おさきにどうぞ, りんしょう, たたりめ, アクロバット, ぼうふう, バークアウト, うっぷんばらし, ダブルウイング, もえあがるいかり, テラバースト",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10171.png
10172,slowking-galar,"どく, エスパー","きみょうなくすり, マイペース, さいせいりょく",795,95,65,80,110,110,30,"メガトンパンチ, ネコにこばん, ほのおのパンチ, れいとうパンチ, かみなりパンチ, メガトンキック, ずつき, たいあたり, のしかかり, とっしん, なきごえ, かなしばり, ようかいえき, かえんほうしゃ, ハイドロポンプ, なみのり, れいとうビーム, ふぶき, サイケこうせん, はかいこうせん, でんじは, じしん, あなをほる, どくどく, ねんりき, サイコキネシス, ひかりのかべ, ゆびをふる, だいもんじ, たきのぼり, スピードスター, ドわすれ, ねむる, トライアタック, みがわり, いびき, のろい, まもる, こわいかお, ヘドロばくだん, こごえるかぜ, こらえる, いばる, メロメロ, ねごと, しんぴのまもり, アイアンテール, あまごい, にほんばれ, じこあんじ, シャドーボール, みらいよち, うずしお, あられ, からげんき, ちょうはつ, トリック, かわらわり, あくび, スキルスワップ, ふういん, ダイビング, なまける, ウェザーボール, だくりゅう, てっぺき, マッドショット, めいそう, みずのはどう, しおみず, なげつける, どくびし, どくづき, パワージェム, ドレインパンチ, きあいだま, ギガインパクト, わるだくみ, ゆきなだれ, しねんのずつき, トリックルーム, ダストシュート, くさむすび, ワンダールーム, サイコショック, ベノムショック, ヘドロウェーブ, ローキック, アシッドボム, イカサマ, りんしょう, アシストパワー, ねっとう, いやしのはどう, たたりめ, じならし, シェルブレード, バークアウト, ベノムトラップ, サイコフィールド, じだんだ, アクアブレイク, ワイドフォース, ぶきみなじゅもん, テラバースト, さむいギャグ, ひやみず, サイコノイズ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10172.png
10173,corsola-galar,ゴースト,"くだけるよろい, のろわれボディ",5,60,55,100,65,100,30,"たいあたり, のしかかり, かなしばり, ハイドロポンプ, なみのり, れいとうビーム, ふぶき, じしん, あなをほる, サイコキネシス, ナイトヘッド, いやなおと, かたくなる, あやしいひかり, ひかりのかべ, くろいきり, リフレクター, じばく, ドわすれ, ねむる, いわなだれ, みがわり, いびき, のろい, うらみ, まもる, みちづれ, こごえるかぜ, すなあらし, ギガドレイン, こらえる, メロメロ, ねごと, しんぴのまもり, あまごい, にほんばれ, ミラーコート, げんしのちから, シャドーボール, うずしお, あられ, おにび, からげんき, しぜんのちから, おんねん, おどろかす, がんせきふうじ, つららばり, てっぺき, めいそう, ロックブラスト, みずのはどう, しおみず, パワージェム, だいちのちから, ストーンエッジ, ステルスロック, もろはのずつき, りんしょう, ねっとう, たたりめ, じならし, ちからをすいとる, じごくづき, じだんだ, アクアブレイク, メテオビーム",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10173.png
10174,zigzagoon-galar,"あく, ノーマル","ものひろい, くいしんぼう, はやあし",175,38,30,41,30,41,60,"すなかけ, ずつき, たいあたり, のしかかり, とっしん, すてみタックル, ミサイルばり, にらみつける, なみのり, れいとうビーム, ふぶき, カウンター, １０まんボルト, でんじは, かみなり, あなをほる, いやなおと, したでなめる, スピードスター, ねむる, みがわり, どろぼう, いびき, まもる, こわいかお, こごえるかぜ, こらえる, メロメロ, ねごと, アイアンテール, あまごい, にほんばれ, シャドーボール, うずしお, からげんき, ちょうはつ, てだすけ, トリック, はたきおとす, ハイパーボイス, うそなき, マッドショット, しっぺがえし, ダメおし, なげつける, タネばくだん, ダストシュート, くさむすび, りんしょう, ファストガード, かたきうち, ふるいたてる, バークアウト, すてゼリフ, つぶらなひとみ, うっぷんばらし",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10174.png
10175,linoone-galar,"あく, ノーマル","ものひろい, くいしんぼう, はやあし",325,78,70,61,50,61,100,"すなかけ, ずつき, たいあたり, のしかかり, とっしん, すてみタックル, ミサイルばり, にらみつける, なみのり, れいとうビーム, ふぶき, はかいこうせん, カウンター, １０まんボルト, でんじは, かみなり, あなをほる, いやなおと, したでなめる, スピードスター, みだれひっかき, ねむる, みがわり, どろぼう, いびき, まもる, こわいかお, こごえるかぜ, こらえる, メロメロ, ねごと, アイアンテール, あまごい, にほんばれ, シャドーボール, うずしお, からげんき, ちょうはつ, てだすけ, トリック, ハイパーボイス, うそなき, マッドショット, しっぺがえし, ダメおし, なげつける, つじぎり, タネばくだん, すりかえ, ギガインパクト, シャドークロー, ダストシュート, くさむすび, つめとぎ, りんしょう, かたきうち, ふるいたてる, バークアウト, つぶらなひとみ, じごくづき, じだんだ, ボディプレス, うっぷんばらし",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10175.png
10176,darumaka-galar,こおり,"はりきり, せいしんりょく",400,70,90,45,15,45,50,"メガトンパンチ, ほのおのパンチ, れいとうパンチ, メガトンキック, ずつき, たいあたり, とっしん, あばれる, かみつく, かえんほうしゃ, れいとうビーム, ふぶき, ソーラービーム, ほのおのうず, あなをほる, きあいだめ, だいもんじ, ねむる, いわなだれ, みがわり, どろぼう, かえんぐるま, いびき, こなゆき, まもる, はらだいこ, こらえる, メロメロ, ねごと, アンコール, にほんばれ, さわぐ, ねっぷう, おにび, からげんき, きあいパンチ, ちょうはつ, ばかぢから, かわらわり, あくび, オーバーヒート, がんせきふうじ, アームハンマー, ジャイロボール, とんぼがえり, なげつける, フレアドライブ, ゆきなだれ, こおりのキバ, ほのおのキバ, しねんのずつき, くさむすび, りんしょう, やきつくす, ふるいたてる, フリーズドライ, グロウパンチ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10176.png
10177,darmanitan-galar-standard,こおり,"ごりむちゅう, ダルマモード",1200,105,140,55,30,55,95,"メガトンパンチ, ほのおのパンチ, れいとうパンチ, メガトンキック, ずつき, たいあたり, のしかかり, あばれる, かみつく, かえんほうしゃ, れいとうビーム, ふぶき, はかいこうせん, ソーラービーム, ほのおのうず, じしん, あなをほる, サイコキネシス, きあいだめ, だいもんじ, ねむる, いわなだれ, みがわり, どろぼう, いびき, きしかいせい, こなゆき, まもる, はらだいこ, こらえる, メロメロ, ねごと, アンコール, にほんばれ, さわぐ, ねっぷう, おにび, からげんき, ちょうはつ, ばかぢから, かわらわり, オーバーヒート, がんせきふうじ, てっぺき, ビルドアップ, ジャイロボール, とんぼがえり, しっぺがえし, なげつける, フレアドライブ, きあいだま, ギガインパクト, ゆきなだれ, こおりのキバ, ほのおのキバ, しねんのずつき, アイアンヘッド, ストーンエッジ, くさむすび, りんしょう, じならし, ふるいたてる, つららおとし, ボディプレス, しっとのほのお, うっぷんばらし",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10177.png
10178,darmanitan-galar-zen,"こおり, ほのお","ごりむちゅう, ダルマモード",1200,105,160,55,30,55,135,"メガトンパンチ, ほのおのパンチ, れいとうパンチ, メガトンキック, ずつき, たいあたり, のしかかり, あばれる, かみつく, かえんほうしゃ, れいとうビーム, ふぶき, はかいこうせん, ソーラービーム, ほのおのうず, じしん, あなをほる, サイコキネシス, きあいだめ, だいもんじ, ねむる, いわなだれ, みがわり, どろぼう, いびき, きしかいせい, こなゆき, まもる, はらだいこ, こらえる, メロメロ, ねごと, アンコール, にほんばれ, さわぐ, ねっぷう, おにび, からげんき, ちょうはつ, ばかぢから, かわらわり, オーバーヒート, がんせきふうじ, てっぺき, ビルドアップ, ジャイロボール, とんぼがえり, しっぺがえし, なげつける, フレアドライブ, きあいだま, ギガインパクト, ゆきなだれ, こおりのキバ, ほのおのキバ, しねんのずつき, アイアンヘッド, ストーンエッジ, くさむすび, りんしょう, じならし, ふるいたてる, つららおとし, ボディプレス, しっとのほのお, うっぷんばらし",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10178.png
10179,yamask-galar,"じめん, ゴースト",さまようたましい,15,38,55,85,30,65,30,"たたきつける, かなしばり, じしん, サイコキネシス, ナイトヘッド, くろいきり, ねむる, いわなだれ, みがわり, どろぼう, いびき, のろい, まもる, みちづれ, すなあらし, こらえる, くろいまなざし, メロメロ, ねごと, しんぴのまもり, あまごい, シャドーボール, おにび, おきみやげ, からげんき, トリック, スキルスワップ, ふういん, おどろかす, うそなき, がんせきふうじ, てっぺき, めいそう, しっぺがえし, どくびし, あくのはどう, エナジーボール, だいちのちから, わるだくみ, しねんのずつき, トリックルーム, ガードシェア, パワーシェア, ワンダールーム, りんしょう, サイドチェンジ, たたりめ, トリックガード, ぶんまわす, ポルターガイスト",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10179.png
10180,stunfisk-galar,"じめん, はがね",ぎたい,205,109,81,99,66,84,32,"しめつける, たいあたり, みずでっぽう, なみのり, カウンター, でんじは, じしん, じわれ, あなをほる, いやなおと, ねむる, いわなだれ, みがわり, いびき, のろい, じたばた, うらみ, まもる, ヘドロばくだん, どろかけ, すなあらし, こらえる, メロメロ, ねごと, いたみわけ, メタルクロー, あまごい, かみくだく, さわぐ, からげんき, リベンジ, あくび, おどろかす, がんせきふうじ, きんぞくおん, だくりゅう, てっぺき, とびはねる, マッドショット, しっぺがえし, ふいうち, だいちのちから, こおりのキバ, ラスターカノン, ストーンエッジ, ステルスロック, ヘドロウェーブ, イカサマ, りんしょう, ねっとう, ミラータイプ, じならし, じだんだ, トラバサミ, てっていこうせん, だいちのはどう, うっぷんばらし",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10180.png
10181,zygarde-10,"ドラゴン, じめん",オーラブレイク,335,54,100,71,61,85,115,"しめつける, のしかかり, かみつく, はかいこうせん, じしん, あなをほる, どくどく, かげぶんしん, くろいきり, スピードスター, へびにらみ, ねむる, いわなだれ, みがわり, いびき, きしかいせい, うらみ, まもる, げきりん, すなあらし, こらえる, いばる, ねごと, おんがえし, やつあたり, しんぴのまもり, いたみわけ, りゅうのいぶき, アイアンテール, めざめるパワー, にほんばれ, かみくだく, しんそく, からげんき, ばかぢから, かわらわり, ほごしょく, ハイパーボイス, とおせんぼう, りゅうのまい, でんげきは, しっぺがえし, りゅうのはどう, きあいだま, だいちのちから, ギガインパクト, しねんのずつき, りゅうせいぐん, ストーンエッジ, くさむすび, ヘドロウェーブ, とぐろをまく, りんしょう, かたきうち, じならし, ドラゴンテール, ないしょばなし, サウザンアロー, サウザンウェーブ, グランドフォース, １０まんばりき, コアパニッシャー, じだんだ, ワイドブレイカー, スケイルショット, はいよるいちげき, ねっさのだいち",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10181.png
10182,cramorant-gulping,"ひこう, みず",うのミサイル,180,70,85,55,85,95,85,"そらをとぶ, みだれづき, あばれる, みずでっぽう, ハイドロポンプ, なみのり, れいとうビーム, ふぶき, はかいこうせん, つつく, ドリルくちばし, こうそくいどう, ドわすれ, ねむる, みがわり, どろぼう, いびき, きしかいせい, まもる, こごえるかぜ, こらえる, はがねのつばさ, メロメロ, ねごと, あまごい, うずしお, さわぐ, たくわえる, はきだす, のみこむ, からげんき, ばかぢから, ダイビング, フェザーダンス, ウェザーボール, つばめがえし, はねやすめ, ついばむ, ダメおし, アクアリング, エアスラッシュ, ブレイブバード, ギガインパクト, きりばらい, りんしょう, ねっとう, ぼうふう, ゲップ, じごくづき, アクアブレイク, ダブルウイング",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10182.png
10183,cramorant-gorging,"ひこう, みず",うのミサイル,180,70,85,55,85,95,85,"そらをとぶ, みだれづき, あばれる, みずでっぽう, ハイドロポンプ, なみのり, れいとうビーム, ふぶき, はかいこうせん, つつく, ドリルくちばし, こうそくいどう, ドわすれ, ねむる, みがわり, どろぼう, いびき, きしかいせい, まもる, こごえるかぜ, こらえる, はがねのつばさ, メロメロ, ねごと, あまごい, うずしお, さわぐ, たくわえる, はきだす, のみこむ, からげんき, ばかぢから, ダイビング, フェザーダンス, ウェザーボール, つばめがえし, はねやすめ, ついばむ, ダメおし, アクアリング, エアスラッシュ, ブレイブバード, ギガインパクト, きりばらい, りんしょう, ねっとう, ぼうふう, ゲップ, じごくづき, アクアブレイク, ダブルウイング",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10183.png
10184,toxtricity-low-key,"でんき, どく","パンクロック, マイナス, テクニシャン",400,75,98,70,114,70,75,"メガトンパンチ, ほのおのパンチ, かみなりパンチ, メガトンキック, とっしん, にらみつける, なきごえ, ようかいえき, はかいこうせん, でんきショック, １０まんボルト, でんじは, かみなり, どくどく, いやなおと, ゆびをふる, スピードスター, ねむる, みがわり, どろぼう, いびき, じたばた, まもる, こわいかお, ヘドロばくだん, こらえる, あまえる, いばる, スパーク, メロメロ, ねごと, アンコール, あまごい, にほんばれ, さわぐ, からげんき, じゅうでん, ちょうはつ, てだすけ, かわらわり, がむしゃら, ハイパーボイス, きんぞくおん, ポイズンテール, でんげきは, しっぺがえし, なげつける, どくびし, どくづき, ドレインパンチ, ギガインパクト, かみなりのキバ, ほうでん, ダストシュート, チャージビーム, ベノムショック, ヘドロウェーブ, エレキボール, アシッドボム, りんしょう, アシストパワー, たたりめ, ボルトチェンジ, エレキネット, ワイルドボルト, バークアウト, ゲップ, おたけび, ばくおんぱ, かいでんぱ, ベノムトラップ, じばそうさ, エレキフィールド, ほっぺすりすり, じごくづき, なみだめ, オーバードライブ, ライジングボルト, テラバースト, くさわけ, サイコノイズ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10184.png
10185,eiscue-noice,こおり,アイスフェイス,890,75,80,70,65,50,130,"れいとうパンチ, ずつき, たいあたり, のしかかり, とっしん, すてみタックル, しろいきり, ハイドロポンプ, なみのり, れいとうビーム, ふぶき, はかいこうせん, こうそくいどう, リフレクター, たきのぼり, ドわすれ, ねむる, みがわり, いびき, きしかいせい, こなゆき, まもる, はらだいこ, こごえるかぜ, こらえる, メロメロ, ねごと, あまごい, うずしお, あられ, からげんき, ダイビング, フェザーダンス, ウェザーボール, つららばり, てっぺき, みずのはどう, しおみず, アクアリング, ギガインパクト, ゆきなだれ, しねんのずつき, アイアンヘッド, もろはのずつき, みずびたし, りんしょう, つららおとし, フリーズドライ, オーロラベール, アクアブレイク, クイックターン, テラバースト, アイススピナー, ゆきげしき, ひやみず",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10185.png
10186,indeedee-female,"エスパー, ノーマル","マイペース, シンクロ, サイコメイカー",280,70,55,65,95,105,85,"ネコにこばん, のしかかり, とっしん, サイケこうせん, サイコキネシス, ひかりのかべ, リフレクター, ゆびをふる, スピードスター, ねむる, みがわり, いびき, まもる, こらえる, あまえる, メロメロ, ねごと, しんぴのまもり, バトンタッチ, じこあんじ, シャドーボール, みらいよち, ねこだまし, からげんき, このゆびとまれ, てだすけ, トリック, スキルスワップ, ふういん, ハイパーボイス, アロマセラピー, マジカルリーフ, めいそう, じゅうりょく, いやしのねがい, サイコシフト, ガードスワップ, ドレインパンチ, エナジーボール, しねんのずつき, トリックルーム, ガードシェア, サイコショック, りんしょう, アシストパワー, サイドチェンジ, いやしのはどう, チャームボイス, ドレインキッス, じゃれつく, なかよくする, マジカルフレイム, マジカルシャイン, サイコフィールド, ワイドフォース, だいちのはどう, テラバースト, サイコノイズ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10186.png
10187,morpeko-hangry,"でんき, あく",はらぺこスイッチ,30,58,95,58,70,58,97,"かみなりパンチ, とっしん, あばれる, すてみタックル, しっぽをふる, にらみつける, かみつく, でんきショック, １０まんボルト, でんじは, かみなり, こうそくいどう, でんこうせっか, スピードスター, ねむる, いかりのまえば, みがわり, どろぼう, いびき, きしかいせい, うらみ, まもる, こわいかお, げきりん, こらえる, いばる, スパーク, メロメロ, ねごと, バトンタッチ, こうそくスピン, かみくだく, ねこだまし, さわぐ, いちゃもん, おだてる, からげんき, じゅうでん, ちょうはつ, リベンジ, かわらわり, はたきおとす, がむしゃら, うそなき, くすぐる, タネマシンガン, しっぺがえし, ダメおし, なげつける, あくのはどう, タネばくだん, わるだくみ, かみなりのキバ, こおりのキバ, ほのおのキバ, チャージビーム, エレキボール, イカサマ, りんしょう, さきおくり, ボルトチェンジ, エレキネット, ワイルドボルト, バークアウト, すてゼリフ, かいでんぱ, エレキフィールド, つけあがる, サイコファング, じだんだ, オーラぐるま, ライジングボルト, うっぷんばらし, テラバースト",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10187.png
10188,zacian-crowned,"フェアリー, はがね",ふとうのけん,3550,92,150,115,80,115,148,"つるぎのまい, のしかかり, とっしん, かみつく, はかいこうせん, あなをほる, こうそくいどう, でんこうせっか, きあいだめ, スピードスター, ねむる, きりさく, みがわり, いびき, きしかいせい, まもる, こわいかお, こらえる, みねうち, ねごと, アイアンテール, メタルクロー, かみくだく, からげんき, てだすけ, リベンジ, かわらわり, ふういん, ハイパーボイス, てっぺき, とおぼえ, インファイト, ダメおし, どくづき, エアスラッシュ, きあいだま, ギガインパクト, かみなりのキバ, こおりのキバ, ほのおのキバ, サイコカッター, ラスターカノン, アイアンヘッド, りんしょう, ファストガード, かたきうち, ふるいたてる, ワイルドボルト, せいなるつるぎ, スイープビンタ, バークアウト, おたけび, ミストフィールド, じゃれつく, ムーンフォース, マジカルシャイン, ソーラーブレード, とぎすます, ぶんまわす, サイコファング, てっていこうせん, テラバースト, くさわけ",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10188.png
